  -6.34399128       39.4082031    
   27.9279766       40.9023438    
   6.25507355       27.1210938    
   31.5862789       6.37597656    
   13.2236404      -29.3925781    
  -17.4198322      -51.4345703    
  -1.02077401      -13.3437500    
   5.31675673       4.69335938    
  -20.0945683       19.9355469    
   10.6827097       13.5263672    
  -15.0605078      -27.4208984    
  -23.7719746      -43.2822266    
   5.98838854      -39.8505859    
  -35.1640205      -40.0019531    
   51.0760956      -5.37304688    
   58.3564529       7.22167969    
   14.2454462      -16.4697266    
  -2.43696737      -61.0576172    
   13.7916670      -59.3251953    
  -37.4919205      -64.8798828    
   72.1892700       9.68066406    
   5.01942444       59.4462891    
  -33.2863350       67.9863281    
  -19.7489605       89.6777344    
  -82.1182175       57.1728516    
   53.6218987      -26.1425781    
   72.2447968      -59.9296875    
  -84.2610092      -5.71289062    
  -38.0558052      -101.909180    
   22.1653175      -132.608398    
