KMMH    -6.34399    39.40820
KMMH    27.92798    40.90234
KMMH     6.25507    27.12109
KMMH    31.58628     6.37598
KMMH    13.22364   -29.39258
KMMH   -17.41983   -51.43457
KMMH    -1.02077   -13.34375
KMMH     5.31676     4.69336
KMM0   -20.09457    19.93555
KMM0    10.68271    13.52637
KMM0   -15.06051   -27.42090
KMM0   -23.77197   -43.28223
KMM0     5.98839   -39.85059
KMM0   -35.16402   -40.00195
MYZ0    51.07610    -5.37305
TKD     58.35645     7.22168
TMC     14.24545   -16.46973
KMMH    -2.43697   -61.05762
KMMH    13.79167   -59.32520
KMMH   -37.49192   -64.87988
OITH    72.18927     9.68066
FKOH     5.01942    59.44629
SAGH   -33.28633    67.98633
FKOH   -19.74896    89.67773
SAGH   -82.11822    57.17285
MYZH    53.62190   -26.14258
MYZH    72.24480   -59.92969
NGSH   -84.26101    -5.71289
KGSH   -38.05581  -101.90918
KGSH    22.16532  -132.60840
