7.26765	12.50844
8.80668	15.12412
5.36623	9.27203
6.03326	10.40848
6.0915	10.50768
9.64564	16.5495
3.32557	5.78124
2.59314	4.51975
5.4627	9.43685
3.77778	6.55735
5.97016	10.30123
8.85553	15.20709
7.37884	12.6975
9.49381	16.29165
9.11437	15.64694
10.2899	17.64411
4.46783	7.73883
10.2899	17.64411
4.46783	7.73883
10.7251	18.38355
10.7037	18.34715
12.9584	22.17733
12.5425	21.47079
10.4220	17.86863
13.0344	22.3063
15.6079	26.67794
16.9782	29.00572
10.4451	17.90776
15.9928	27.33183
14.4958 24.78882
18.4393	31.48751
22.3928	38.46363
